[2024-11-24 21:49:35] [INFO    ] discord.client: logging in using static token
[2024-11-24 21:49:35] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2024-11-24 21:49:35] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2024-11-24 21:49:35] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1309328711664799744', 'username': 'earporn_bot', 'avatar': 'b2b3139966fce47fbed8383747bcf719', 'discriminator': '6464', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2024-11-24 21:49:36] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2024-11-24 21:49:36] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2024-11-24 21:49:36] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1309328711664799744', 'name': 'earporn_cycle_bot', 'icon': 'b2b3139966fce47fbed8383747bcf719', 'description': 'This bot is meant to announce things about the our earporn playlist', 'type': None, 'bot': {'id': '1309328711664799744', 'username': 'earporn_bot', 'avatar': 'b2b3139966fce47fbed8383747bcf719', 'discriminator': '6464', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['bot', 'applications.commands'], 'permissions': '2048'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['bot', 'applications.commands'], 'permissions': '2048'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '2d7c015f0fb83f0f6f99877df4ad004298a615b5386dc7d794ea079383bf79b7', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': ['http://localhost:8123'], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '361379642407387138', 'username': 'shinditzu', 'avatar': '398409f43f8f94d65e6d79d22a1cdfb5', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 6756249, 'global_name': 'Shinditzu', 'avatar_decoration_data': None, 'banner_color': '#671799', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 228, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2}
[2024-11-24 21:49:36] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2024-11-24 21:49:36] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-b-cwdg",{"micros":0.0}]']}}
[2024-11-24 21:49:36] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2024-11-24 21:49:36] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2024-11-24 21:49:36] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'earporn_bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1309328711664799744', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '6464', 'clan': None, 'bot': True, 'avatar': 'b2b3139966fce47fbed8383747bcf719'}, 'session_type': 'normal', 'session_id': 'bc1d2a2195618693b20c4a1365dce021', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '363868388218634240'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['atlanta', 'us-east', 'newark', 'us-central', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1309328711664799744', 'flags': 565248}, '_trace': ['["gateway-prd-us-east1-b-cwdg",{"micros":77074,"calls":["id_created",{"micros":813,"calls":[]},"session_lookup_time",{"micros":2909,"calls":[]},"session_lookup_finished",{"micros":18,"calls":[]},"discord-sessions-prd-1-166",{"micros":72961,"calls":["start_session",{"micros":45401,"calls":["discord-api-rpc-6cb979757c-5gtfw",{"micros":41244,"calls":["get_user",{"micros":5015},"get_guilds",{"micros":2598},"send_scheduled_deletion_message",{"micros":6},"guild_join_requests",{"micros":1953},"authorized_ip_coro",{"micros":7}]}]},"starting_guild_connect",{"micros":70,"calls":[]},"presence_started",{"micros":6766,"calls":[]},"guilds_started",{"micros":83,"calls":[]},"guilds_connect",{"micros":9,"calls":[]},"presence_connect",{"micros":20586,"calls":[]},"connect_finished",{"micros":20599,"calls":[]},"build_ready",{"micros":19,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":21,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2024-11-24 21:49:36] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2024-11-24 21:49:36] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: bc1d2a2195618693b20c4a1365dce021).
[2024-11-24 21:49:36] [DEBUG   ] discord.client: Dispatching event connect
[2024-11-24 21:49:36] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'channels': [{'version': 0, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '363868388218634241', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '363868388218634241', 'name': 'general', 'last_message_id': '1310088509843046462', 'id': '363868388218634242', 'flags': 0}, {'version': 0, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '363868388218634243', 'flags': 0}, {'version': 0, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '363868388218634243', 'name': 'General', 'last_message_id': None, 'id': '363868388218634244', 'flags': 0, 'bitrate': 64000}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'name': 'waiting-room', 'last_message_id': '568601453325975563', 'id': '568586028982730791', 'flags': 0}, {'version': 1732239209869, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '363868388218634241', 'nsfw': False, 'name': 'earporn_test', 'last_message_id': '1310437123161325700', 'id': '1309330887888080947', 'flags': 0}], 'system_channel_id': '363868388218634242', 'roles': [{'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465839169', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '363868388218634240', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 1732327111978, 'unicode_emoji': None, 'tags': {'bot_id': '1309328711664799744'}, 'position': 1, 'permissions': '2048', 'name': 'earporn_cycle_bot', 'mentionable': False, 'managed': True, 'id': '1309699575988228108', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}], 'default_message_notifications': 0, 'preferred_locale': 'en-US', 'members': [{'user': {'username': 'earporn_bot', 'public_flags': 0, 'id': '1309328711664799744', 'global_name': None, 'display_name': None, 'discriminator': '6464', 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'b2b3139966fce47fbed8383747bcf719'}, 'roles': ['1309699575988228108'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-11-23T01:58:31.990832+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'voice_states': [], 'banner': None, 'splash': None, 'large': False, 'verification_level': 0, 'application_command_counts': {}, 'max_video_channel_users': 25, 'features': [], 'max_members': 500000, 'afk_timeout': 300, 'stickers': [], 'id': '363868388218634240', 'stage_instances': [], 'embedded_activities': [], 'name': 'Shinditzu', 'afk_channel_id': None, 'premium_tier': 0, 'public_updates_channel_id': None, 'premium_progress_bar_enabled': False, 'vanity_url_code': None, 'hub_type': None, 'threads': [], 'discovery_splash': None, 'description': None, 'guild_scheduled_events': [], 'member_count': 4, 'presences': [], 'nsfw': False, 'rules_channel_id': None, 'incidents_data': None, 'explicit_content_filter': 0, 'soundboard_sounds': [], 'latest_onboarding_question_id': None, 'max_stage_video_channel_users': 50, 'joined_at': '2024-11-23T01:58:31.990832+00:00', 'home_header': None, 'owner_id': '361379642407387138', 'lazy': True, 'mfa_level': 0, 'region': 'deprecated', 'icon': None, 'inventory_settings': None, 'premium_subscription_count': 0, 'unavailable': False, 'version': 1732240222440, 'nsfw_level': 0, 'activity_instances': [], 'clan': None, 'system_channel_flags': 0, 'emojis': [], 'application_id': None, 'safety_alerts_channel_id': None}}
[2024-11-24 21:49:36] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2024-11-24 21:49:36] [DEBUG   ] discord.client: Dispatching event guild_available
[2024-11-24 21:49:38] [DEBUG   ] discord.client: Dispatching event ready
[2024-11-24 21:50:17] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2024-11-24 21:50:17] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2024-11-24 21:50:58] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2024-11-24 21:50:58] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
