Track,Album,Artist,Added By,Time Added,Track ID
Cherry Wine,Birthmarks (Deluxe Edition),Born Ruffians,shinditzu,2025-09-01T15:10:02Z,3blghPDiOAX3h7F5QzPWjV
"Big Thighs, Nj",Get out the Lotion,Low Cut Connie,shinditzu,2025-09-04T22:22:18Z,2ZqjkcgIoFmKiUnZCyltTz
Hayloft,O My Heart,Mother Mother,shinditzu,2025-09-04T22:22:34Z,2kKkl59fY6Cic1CmhvSEZK
High N Low,High N Low,Aquifer,shinditzu,2025-09-09T12:34:46Z,1swi7ZorW1B9VxESxuW7d6
Disaster,Time Machine,D.A. Wallach,shinditzu,2025-09-09T13:07:01Z,1387vgNIuxDrOdsPXpC8Rx
Pierre - Siren Sessions Version,The Fool (Deluxe),Ryn Weaver,goodwi46,2025-09-13T14:25:20Z,7fSatoGqSIiJqxhLoiKfNG
Legacy,Bank On The Funeral,Matt Maeson,goodwi46,2025-09-13T14:29:26Z,373CjBoI0zDFNIXm57NdOY
"""U""","""U""",Malachi Nassér,goodwi46,2025-09-13T14:29:49Z,2LdBAbLwbA7zPg9hRXCpjf
Michigan Skies,Michigan Skies,Song House,goodwi46,2025-09-13T14:36:02Z,47lkuJjIx52bWPKfB1BEzQ
3AM,3AM,Grace Alexandra,goodwi46,2025-09-13T14:36:37Z,1Mnn1SUK1IL98FpX1dIE73
Stitch up Your Jeans,Stitch up Your Jeans,Jack Robinson,goodwi46,2025-09-13T14:37:05Z,5dnbllS8mw5oMnPvhPfynh
Valerie (feat. Amy Winehouse) - Version Revisited,Version,Mark Ronson,goodwi46,2025-09-13T14:38:03Z,6kopmMZiyLmw7h66uXcXR7
9 to 5,9 To 5 And Odd Jobs,Dolly Parton,goodwi46,2025-09-13T14:39:08Z,4w3tQBXhn5345eUXDGBWZG
Grace Kelly,Life in Cartoon Motion,MIKA,goodwi46,2025-09-13T14:39:29Z,7dzUZec5MnWMyQnk5klnKR
Shake That Bagpipe,Another Way to Fly,The Sidh,swbernstel,2025-09-03T03:45:34Z,13mFHw8vgUBOD5nAtS4uSa
The Weed Smoker's Dream,Didn't It Rain,Hugh Laurie,swbernstel,2025-09-03T03:45:34Z,5OrAlk81UJzAoRycNphAY7
Transcendental Cha Cha Cha,Transcendental Cha Cha Cha,Tom Cardy,swbernstel,2025-09-03T03:45:34Z,1gaa0N2DGSLKcW7aIQu9xF
You Don't Know My Mind,Let Them Talk,Hugh Laurie,swbernstel,2025-09-03T03:45:34Z,3YwHkFhsCB9WARodNJcERE
Beth Yw'r Haf i Mi,Beth Yw'r Haf i Mi,Gareth Rees,swbernstel,2025-09-03T03:45:34Z,3tVJ3OSVfJ5Lhk172HftXX
Falling To Pieces,Falling To Pieces,Krashkarma,swbernstel,2025-09-03T03:45:34Z,4axl7Me6ahtA7ivOA02lg6
Beastblade,Brendon Small's Galaktikon,Brendon Small,swbernstel,2025-09-03T03:45:34Z,6KmybqIXsIgHdMearl0SV7
Otherside,Californication (Deluxe Edition),Red Hot Chili Peppers,swbernstel,2025-09-03T03:45:34Z,64BbK9SFKH2jk86U3dGj2P
Strong,Strong,Kira Michele,swbernstel,2025-09-03T03:45:34Z,5WekFwVyu5erogVDNQEUxB
Mistakes,Mistakes,Masetti,swbernstel,2025-09-03T03:45:34Z,2RmVdUI3qIixHQ1HsgQnhr
Old Phone,Old Phone,Ed Sheeran,xjenbeanx,2025-09-06T01:55:03Z,2QxviKpVdEXKDWs706MUZB
September - Recorded at The Tracking Room Nashville,Spotify Singles,Taylor Swift,xjenbeanx,2025-09-06T01:55:03Z,5eGX87IiKsGuzS3iw4CfCX
Deeper Well,Deeper Well,Kacey Musgraves,xjenbeanx,2025-09-06T01:55:03Z,333XFHKsHU0pOocFzBgrJi
Chemtrails Over The Country Club,Chemtrails Over The Country Club,Lana Del Rey,xjenbeanx,2025-09-06T01:55:03Z,7bPWdJgx8vek7S5i5yAtvG
Accidntel Deth,More Adventurous (U.S. Release),Rilo Kiley,xjenbeanx,2025-09-06T01:55:03Z,7KJymi3dZGLPvxmOYyWwxz
Clean Air,A Matter of Time,Laufey,xjenbeanx,2025-09-06T01:55:03Z,5vUwvYW5fpHrwHfirVpkHn
The Thrill Is Gone / Django (with Miley Cyrus),I Shouldn’t Be Telling You This,Jeff Goldblum & The Mildred Snitzer Orchestra,xjenbeanx,2025-09-06T01:55:03Z,0xgMLcdtDFTgUJYVJc1vgu
Liquid Paradise,Bathtub Gin,The Speakeasies' Swing Band!,xjenbeanx,2025-09-16T00:30:23Z,6cEbzxUwsbsWQtH4ZstR1k
Fireflies,Ocean Eyes,Owl City,71fg5vzz2r72fuaevr48h6usr,2025-09-07T15:07:38Z,3DamFFqW32WihKkTVlwTYQ
HandClap,Fitz and The Tantrums (Deluxe Edition),Fitz and The Tantrums,71fg5vzz2r72fuaevr48h6usr,2025-09-07T15:07:44Z,4qRaZYiaOsSvWC7VgcxrI0
Booty Do Math,Super Powered Love,Kirby Krackle,71fg5vzz2r72fuaevr48h6usr,2025-09-07T15:07:50Z,7u7sktWugFCyysc6R1uhCQ
"If I Had $150,000","If I Had $150,000",Carolina Mic,71fg5vzz2r72fuaevr48h6usr,2025-09-07T15:07:54Z,1z7niMiIbvun4LvAu0mwTt
Young Black & Rich,Young Black & Rich,Melly Mike,71fg5vzz2r72fuaevr48h6usr,2025-09-07T15:07:57Z,2QWin1zM9hxG9zsApuIvso
Toxicity,Toxicity,System Of A Down,71fg5vzz2r72fuaevr48h6usr,2025-09-07T15:08:03Z,0snQkGI5qnAmohLE7jTsTn
Runnin' Down A Dream,The Best Of Everything - The Definitive Career Spanning Hits Collection 1976-2016,Tom Petty,71fg5vzz2r72fuaevr48h6usr,2025-09-07T15:09:12Z,5yAu4njFSdM47dfsTkQPZ2
